n, Ln, Lw, Lp, Up, Ue, Us
1, 0.0000, 0.0000, 6.0000, 1.0000, -0.1667, -0.1667
2, 0.0000, -1.0000, 4.8333, 1.0000, -0.2069, -0.2069
3, 0.0000, -1.0000, 4.7931, 1.0000, -0.2086, -0.2086
4, 0.0000, -1.0000, 5.7914, 1.0000, 0.0000, -0.1727
5, -1.0000, 0.0000, 4.8333, 1.0000, -0.2069, -0.2069
6, -1.0000, -1.0000, 3.5862, 1.0000, -0.2788, -0.2788
7, -1.0000, -1.0000, 3.5125, 1.0000, -0.2847, -0.2847
8, -1.0000, -1.0000, 4.5426, 1.0000, 0.0000, -0.2201
9, -1.0000, 0.0000, 4.7931, 1.0000, -0.2086, -0.2086
10, -1.0000, -1.0000, 3.5125, 1.0000, -0.2847, -0.2847
11, -1.0000, -1.0000, 3.4306, 1.0000, -0.2915, -0.2915
12, -1.0000, -1.0000, 4.4884, 1.0000, 0.0000, -0.2228
13, -1.0000, 0.0000, 5.7914, 1.0000, -0.1727, 0.0000
14, -1.0000, -1.0000, 4.5426, 1.0000, -0.2201, 0.0000
15, -1.0000, -1.0000, 4.4884, 1.0000, -0.2228, 0.0000
16, -1.0000, -1.0000, 5.5544, 1.0000, 0.0000, 0.0000
